"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","avod_Ad_Spend",1,24,6.71704533071831,0.124174171420147,"[5.46, 7.97]",5.45578424771667,7.97262363909683,0.595518405677976,0.0374532949771325
"2","avod_Ad_Spend",2,35,4.60165645340036,0.169200341296961,"[2.57, 6.64]",2.57433664651248,6.64290120323814,0.986599050693988,0.0610279056375115
"3","avod_Ad_Spend",3,36,5.29184105332778,0.162019995653671,"[3.32, 7.27]",3.31879354524117,7.26581047778042,0.958523220744573,0.0592329633740242
"4","avod_Ad_Spend",4,10,2.46998085781566,0.23421700923629,"[0.78, 4.13]",0.781143786872899,4.1321188879324,0.70265102770887,0.0480432036007802
"5","avod_Ad_Spend",5,11,5.83769119612165,0.225456557667162,"[4.16, 7.5]",4.16341654702974,7.49561962732693,0.712956235649329,0.0480617732484429
"6","dsp_Ad_Spend",1,24,0.0194643503377973,0.013275011503255,"[0, 0.15]",0,0.153701154696538,0.0636647186396495,0.00283869284824077
"7","dsp_Ad_Spend",2,35,1.84387737465858,0.0455722193975438,"[1.29, 2.39]",1.29454806524198,2.39037042110092,0.265729419048414,0.016437183777331
"8","dsp_Ad_Spend",3,36,0.33302226321537,0.0424081477078888,"[0, 0.85]",0,0.849704991929658,0.250889985293343,0.0136513632577409
"9","dsp_Ad_Spend",4,10,1.15129037243888,0.101589137415127,"[0.43, 1.88]",0.426250714932277,1.87970053536256,0.304767412245381,0.0208382287365762
"10","dsp_Ad_Spend",5,11,0,0,"[0, 0]",0,0,0,0
"11","internetDisplay_Ad_Spend",1,24,1.45872903403264,0.316272043106997,"[0, 4.67]",0,4.67369918462589,1.51678743427505,0.0778512530623838
"12","internetDisplay_Ad_Spend",2,35,0.971604484474336,0.405023384800536,"[0, 5.85]",0,5.84894620701285,2.36167187305935,0.106790807607389
"13","internetDisplay_Ad_Spend",3,36,1.18412206283004,0.227799306039881,"[0, 3.96]",0,3.96421991041002,1.34767886906666,0.0672684610963974
"14","internetDisplay_Ad_Spend",4,10,0.257057843671341,0.076277168614095,"[0, 0.8]",0,0.804954515990367,0.228831505842285,0.0127537124007569
"15","internetDisplay_Ad_Spend",5,11,11.8203639330474,0.471185976261982,"[8.32, 15.28]",8.31794753397507,15.2819825469238,1.49002088651789,0.10044522006045
"16","mobileWebVideo_Ad_Spend",1,24,275.766776930503,18.9445923954572,"[83.86, 467.84]",83.8593727194806,467.840162357285,90.8550734064442,5.71404986313831
"17","mobileWebVideo_Ad_Spend",2,35,193.921249685319,5.31710140462665,"[129.93, 257.78]",129.930294276951,257.784470891244,31.0037625103924,1.91779496601088
"18","mobileWebVideo_Ad_Spend",3,36,228.768820392406,8.94460378679957,"[119.54, 337.44]",119.541797336422,337.4439300881,52.9169896309212,3.27006173751031
"19","mobileWebVideo_Ad_Spend",4,10,166.471430898219,22.087881549693,"[7.52, 323.54]",7.52128421254511,323.535656309243,66.263644649079,4.5307238524733
"20","mobileWebVideo_Ad_Spend",5,11,313.537300039758,21.4383535856546,"[155.97, 472.83]",155.973627250729,472.828229280448,67.7940266147063,4.57012783090032
"21","mobileWeb_Ad_Spend",1,24,1.68409523393859,0.21944341471619,"[0, 3.9]",0,3.90121006721831,1.05241364587929,0.0606670440300696
"22","mobileWeb_Ad_Spend",2,35,2.48295428108156,0.0994900741805603,"[1.28, 3.68]",1.28408402823797,3.67640656408089,0.580121836561438,0.0358845071612707
"23","mobileWeb_Ad_Spend",3,36,2.70178417276516,0.107401577869612,"[1.39, 4.01]",1.39468140557039,4.01112294244673,0.635396303507408,0.0392649913524359
"24","mobileWeb_Ad_Spend",4,10,1.57441958205358,0.189985329118992,"[0.21, 2.93]",0.207122304375483,2.92526864874309,0.569955987356976,0.0389702860513289
"25","mobileWeb_Ad_Spend",5,11,2.23604047944227,0.0664553079757101,"[1.74, 2.72]",1.74173911214455,2.72393534644381,0.210150135811198,0.014166631372946
"26","onlineVideo_Ad_Spend",1,24,0,0,"[0, 0]",0,0,0,0
"27","onlineVideo_Ad_Spend",2,35,0,0,"[0, 0]",0,0,0,0
"28","onlineVideo_Ad_Spend",3,36,0,0,"[0, 0]",0,0,0,0
"29","onlineVideo_Ad_Spend",4,10,0.00259864415779683,0.0024881731800245,"[0, 0.02]",0,0.0204509963878527,0.0074645195400735,0.000357374095636361
"30","onlineVideo_Ad_Spend",5,11,0,0,"[0, 0]",0,0,0,0
"31","sb_Ad_Spend",1,24,2.78531609879366,0.0660694370857105,"[2.12, 3.46]",2.11674278889377,3.45587926084973,0.316857889103177,0.0199278005066901
"32","sb_Ad_Spend",2,35,2.01304247547945,0.0260341786488915,"[1.7, 2.33]",1.69975343289157,2.32576716136533,0.151804043323495,0.00939011934465407
"33","sb_Ad_Spend",3,36,2.49783622751825,0.0419167130615069,"[1.99, 3.01]",1.98731593189657,3.00846135004489,0.247982618717169,0.0153243500563905
"34","sb_Ad_Spend",4,10,1.43499636670428,0.152603084701426,"[0.34, 2.52]",0.337264519402444,2.52057792967427,0.457809254104277,0.0313023426109129
"35","sb_Ad_Spend",5,11,2.58110595871936,0.126158297555657,"[1.64, 3.51]",1.6449675337628,3.50956207946957,0.398947566005131,0.0268938351284548
"36","sd_Ad_Spend",1,24,0.923459264748007,0.155430668712008,"[0, 2.5]",0,2.49545114692876,0.745419300698624,0.0402655530133941
"37","sd_Ad_Spend",2,35,2.34738903552308,0.116393035277601,"[0.95, 3.75]",0.94693651720569,3.74570497328725,0.678682189598726,0.041981139750293
"38","sd_Ad_Spend",3,36,4.52290421899192,0.204038355535163,"[2.04, 7.01]",2.03673092910483,7.007369527974,1.20710719015847,0.0745944745372333
"39","sd_Ad_Spend",4,10,1.64220981614019,0.195925610647918,"[0.24, 3.04]",0.237852062296621,3.04098683496678,0.587776831943755,0.0401887720864411
"40","sd_Ad_Spend",5,11,2.66323032523424,0.378129097366137,"[0, 5.44]",0,5.44476155711164,1.19574919726057,0.0791541409255836
"41","sp_Ad_Spend",1,24,2.22746230962646,0.0458851442290351,"[1.76, 2.69]",1.76322031885527,2.69324898064555,0.220057421145357,0.0138398333745555
"42","sp_Ad_Spend",2,35,1.87613555838407,0.0367385953059502,"[1.43, 2.32]",1.43440309032607,2.31781352307064,0.214220981913185,0.0132510343087973
"43","sp_Ad_Spend",3,36,2.10430949677222,0.0552259369398725,"[1.43, 2.77]",1.42877936971643,2.77415471883669,0.326721049032714,0.0201900752240979
"44","sp_Ad_Spend",4,10,1.34927940622849,0.100206013496485,"[0.63, 2.06]",0.629106108418283,2.06276738390829,0.300618040489455,0.0205545187522112
"45","sp_Ad_Spend",5,11,2.18420750138795,0.0672399730328155,"[1.69, 2.68]",1.68594526319936,2.67973869097723,0.212631464591997,0.0143339025955744
